title,doi,pubmed_id,abstract,pub_date,authors,researchkeys,score
Second-generation anticoagulant rodenticides in the blood of obligate and facultative european avian scavengers.,10.1016/j.envpol.2022.120385,36257565,"The widespread use of second-generation anticoagulant rodenticides (SGARs) and their high persistence in animal tissues has led to these compounds becoming ubiquitous in rodent-predator-scavenger food webs. Exposure to SGARs has usually been investigated in wildlife species found dead, and despite growing evidence of the potential risk of secondary poisoning of predators and scavengers, the current worldwide exposure of free-living scavenging birds to SGARs remains scarcely investigated. We present the first active monitoring of blood SGAR concentrations and prevalence in the four European obligate (i.e., vultures) and facultative (red and black kites) avian scavengers in NE Spain. We analysed 261 birds and detected SGARs in 39.1% (n = 102) of individuals. Both SGAR prevalence and concentrations (ΣSGARs) were related to the age and foraging behaviour of the species studied. Black kites showed the highest prevalence (100%), followed by red kites (66.7%), Egyptian (64.2%), bearded (20.9%), griffon (16.9%) and cinereous (6.3%) vultures. Overall, both the prevalence and average ΣSGARs were higher in non-nestlings than nestlings, and in species such as kites and Egyptian vultures foraging in anthropic landscapes (e.g., landfill sites and livestock farms) and exploiting small/medium-sized carrions. Brodifacoum was most prevalent (28.8%), followed by difenacoum (16.1%), flocoumafen (12.3%) and bromadiolone (7.3%). In SGAR-positive birds, the ΣSGAR (mean ± SE) was 7.52 ± 0.95 ng mL",2022-10-19,"Pilar Oliva-Vidal, José María Martínez, Inés S Sánchez-Barbudo, Pablo R Camarero, M Àngels Colomer, Antoni Margalida, Rafael Mateo",game,0
Sedentary behavior is associated with musculoskeletal pain in adolescents: A cross sectional study.,10.1016/j.bjpt.2022.100452,36257097,"High prevalence of back pain has been observed in adolescents. Sedentary behavior (SB) is considered a risk factor for musculoskeletal pain. The association between back pain and SB in the pediatric/adolescent population is not well established.
To investigate the association between SB and low back and neck pain in adolescents according to sex.
This is a cross-sectional study with children and adolescents aged 10-17 years, randomly recruited from public and private schools in Presidente Prudente, Brazil. All students enrolled in the selected schools were eligible to participate. SB was evaluated by adding the number of hours of use of screen devices, such as television, computer, video game, and smartphone/tablet. To assess neck and low back pain, the Nordic Musculoskeletal Questionnaire was used. Physical activity and socioeconomic status were assessed by the Baecke Questionnaire and the Brazilian Criteria for Economic Classification (ABEP), respectively. Odds ratio (OR) from Binary Logistic Regression in the unadjusted and adjusted model (physical activity, abdominal obesity, and socioeconomic status) showed the relationship between musculoskeletal pain and SB.
A total of 1011 adolescents (557 girls) with a mean ± standard deviation age of 13.2±2.4 years were included. Moderate (OR = 1.80; 95%CI: 1.00, 3.23) and high (OR = 1.91; 95%CI: 1.02, 3.53) SB were associated with neck pain in girls. In boys, moderate SB [OR = 2.75; 95%CI: 1.31, 5.78) were associated with neck pain. Moderate (OR = 2.73; 95%CI: 1.45, 5.02) and high (OR = 2.49; 95%CI: 1.30, 4.76) SB were associated with low back pain only in girls.
Moderate and high SB were associated with neck pain in girls and boys, while moderate and high SB were associated with low back pain only in girls.",2022-10-19,"Lucas da Costa, Italo Ribeiro Lemes, William R Tebar, Crystian B Oliveira, Paulo H Guerra, José Luiz G Soidán, Jorge Mota, Diego G D Christofaro",game,0
Moderators of an intervention on emotional and behavioural problems: household- and school-level parental education.,10.1093/eurpub/ckac143,36256856,"Children of lower-educated parents and children in schools with a relatively high percentage of peers with lower-educated parents (lower parental education schools) are more likely to develop emotional and behavioural problems compared to children in higher-educated households and schools. Universal school-based preventive interventions, such as the Good Behaviour Game (GBG), are generally effective in preventing the development of emotional and behavioural problems, but information about potential moderators is limited. This study examined whether the effectiveness of the GBG in preventing emotional and behavioural problems differs between children in lower- and higher-educated households and schools.
Using a longitudinal multi-level randomized controlled trial design, 731 children (Mage=6.02 towards the end of kindergarten) from 31 mainstream schools (intervention arm: 21 schools, 484 children; control arm: 10 schools, 247 children) were followed annually from kindergarten to second grade (2004-2006). The GBG was implemented in first and second grades.
Overall, the GBG prevented the development of emotional and behavioural problems. However, for emotional problems, the GBG-effect was slightly more pronounced in higher parental education schools than in lower parental education schools (Bhigher parental education schools =-0.281, P <0.001; Blower parental education schools =-0.140, P = 0.016). No moderation by household-level parental education was found.
Studies into universal school-based preventive interventions, and in particular the GBG, should consider and incorporate school-level factors when studying the effectiveness of such interventions. More attention should be directed towards factors that may influence universal prevention effectiveness, particularly in lower parental education schools.",2022-10-19,"Nil Horoz, J Marieke Buil, Susanne Koot, Frank J van Lenthe, Tanja A J Houweling, Joost Oude Groeniger, Hans M Koot, Pol A C van Lier",game,0
Text Feature Adversarial Learning for Text Generation With Knowledge Transfer From GPT2.,10.1109/TNNLS.2022.3210975,36256717,"Text generation is a key component of many natural language tasks. Motivated by the success of generative adversarial networks (GANs) for image generation, many text-specific GANs have been proposed. However, due to the discrete nature of text, these text GANs often use reinforcement learning (RL) or continuous relaxations to calculate gradients during learning, leading to high-variance or biased estimation. Furthermore, the existing text GANs often suffer from mode collapse (i.e., they have limited generative diversity). To tackle these problems, we propose a new text GAN model named text feature GAN (TFGAN), where adversarial learning is performed in a continuous text feature space. In the adversarial game, GPT2 provides the ""true"" features, while the generator of TFGAN learns from them. TFGAN is trained by maximum likelihood estimation on text space and adversarial learning on text feature space, effectively combining them into a single objective, while alleviating mode collapse. TFGAN achieves appealing performance in text generation tasks, and it can also be used as a flexible framework for learning text representations.",2022-10-19,"Hao Zhang, Yulai Cong, Zhengjue Wang, Lei Zhang, Miaoyun Zhao, Liqun Chen, Shijing Si, Ricardo Henao, Lawrence Carin",game,0
Actions Do Not Always Speak Louder Than Words.,10.1027/1618-3169/a000555,36255064,,2022-10-19,"Agata Ludwiczak, Zoe Adams, Magda Osman",game,0
Game-play affects hamstring but not adductor muscle fibre mechanics in elite U20 basketball athletes.,10.1080/14763141.2022.2133006,36254725,"Muscle tendon unit fibre mechanics of hamstring and adductor strain injuries are not well studied, with factors such as fatigue promoted as risk factors in the absence of mechanistic evidence. In this study, musculoskeletal modelling was used to estimate fibre mechanics of four hamstring (biceps femoris long head, biceps femoris short head, semimembranosus and semitendinosus) and four adductor (adductor brevis, adductor longus, adductor magnus and gracilis) muscles during an anticipated cut task. The cut task was performed by 10 healthy elite male U20 basketball players both before and immediately after they played in one (of four) competitive basketball game. Biceps femoris long head produced significantly lower (p = 0.032) submaximal force post-game in the latter part of swing (30.7% to 35.0% of stride), though its peak force occurred later (37%) and remained unchanged. Semimembranosus produced significantly lower (p = 0.006) force post-game (32.9% to 44.9% of stride), which encompassed the instance of peak force (39%). Neither fibre velocity nor fibre length of the investigated muscles were significantly affected by game-play. These finding suggest that if fatigue is a factor in hamstring and adductor muscle strain injuries and is brought about by game-play, it is unlikely through the fibre mechanisms investigated in this study.",2022-10-19,"Riad Akhundov, David J Saxby, Laura E Diamond, Suzanne Snodgrass, Phil Clausen, Michael Drew, Katherine Dooley, Tania Pizzari, Ebonie Rio, Adrian Schultz, Luke Donnan, Tye McGann, Suzi Edwards",game,0
Interpersonal relationships modulate subjective ratings and electrophysiological responses of moral evaluations.,10.3758/s13415-022-01041-9,36253608,"This study explored how interpersonal relationships modulate moral evaluations in moral dilemmas. Participants rated moral acceptability in response to altruistic (prescriptive) and selfish (proscriptive) behavior conducted by allocators (i.e., a friend or stranger), toward the participants themselves or another stranger in a modified Dictator Game (Experiments 1 and 2). Event-related potential (ERP) data were recorded as participants observed the allocators' behavior (Experiment 2). Moral acceptability ratings showed that when the allocator was a friend, participants evaluated the friend's altruistic and selfish behavior toward another stranger as being less morally acceptable than when their friend showed the respective behavior toward the participants themselves. The ERP results showed that participants exhibited more negative medial frontal negativity (MFN) amplitude whether observing a friend's altruistic or selfish behavior toward a stranger (vs. participant oneself), indicating that friends' altruistic and selfish behaviors toward strangers (vs. participants) were processed as being less acceptable at the earlier and semi-automatic processing stage in brains. However, this effect did not emerge when the allocator was a stranger in subjective ratings and MFN results. In the later-occurring P3 component, no interpersonal relationship modulation occurred in moral evaluations. These findings suggest that interpersonal relationships affect moral evaluations from the second-party perspective.",2022-10-18,"Jin Li, Mei Li, Yu Sun, Wei Fan, Yiping Zhong",game,0
'Game-changing' gender quotas introduced by Australian research agency.,10.1038/d41586-022-03285-4,36253564,,2022-10-18,Bianca Nogrady,game,1
Analysis of potential hydration opportunities during future football tournaments based on data from the 2018 FIFA World Cup.,10.1080/24733938.2022.2137574,36252322,"The World Cup is traditionally held during the hot summer months which requires playing in oppressive thermal conditions. Therefore, teams should follow heat strain mitigation strategies, such as acclimatization, pre-exercise cooling, and optimal fluid ingestion. Even though the 2022 World Cup in Qatar is being moved to the autumn to reduce environmental stress, many challenges will remain. The objective of this analysis was to assess and visually communicate match-based World Cup player hydration opportunities and behaviors. Broadcast recordings of the 2018 World Cup (June-July) were analyzed. Descriptive data were reported for match duration, the number, type, and duration of breaks, and player-initiated hydration moments, as well as data reporting environmental conditions using the Universal Thermal Climate Index (UTCI), with matches categorized as ""no thermal stress"" and ""thermal heat stress."" The median number and interquartile range of total match breaks were 7 [5-8] during official breaks, with a duration of 42 [23-72] seconds. There were 2 [1-3] player-initiated hydration moments per game, with a duration of 77 [55 to 100] seconds. On top of the 29% (#126) of breaks in which drinking occurred, an additional 26% (#33) of self-initiated drinking was registered with a duration of 7 [4-28] seconds without an official break. There was no significant difference (P=0.22) in self-initiated hydration between matches played under the two thermal conditions. Relative percentages showed suboptimal use of substitution (14%) and VAR (38%) breaks vs. injury breaks (75%). In conclusion, football players did not sufficiently use available breaks to hydrate.",2022-10-18,"Floris C Wardenaar, Joshua S Beaumont, Josh Boeckman, Bregje van Geffen, Jennifer K Vanos",game,0
Game-Based Virtual Reality System for Upper Limb Rehabilitation After Stroke in a Clinical Environment: Systematic Review and Meta-Analysis.,10.1089/g4h.2022.0086,36252097,"The use of virtual reality (VR) for stroke rehabilitation has been implemented during the last decade. At present, most studies still focus on the effects of VR on upper limb rehabilitation, and few studies have explored VR games, VR system designs, and rehabilitation modes for upper limb rehabilitation. This study aims to (1) evaluate the rehabilitation effect of stroke patients using a game-based VR upper limb rehabilitation system in clinical settings; (2) investigate the impact of custom and commercial VR games on patients in clinical settings; and (3) review VR upper limb rehabilitation modes. The PubMed, ScienceDirect, Scopus, Web of Science, and IEEE Xplore databases were searched, and related literature published through December 2021 was included. A total of 4700 articles were retrieved according to the search strategy. We identified 24 studies, including 793 patients. We conducted a systematic search for randomized controlled trials with adult stroke patients to analyze the effect of game-based VR upper limb rehabilitation systems. A meta-analysis was conducted to compare the effects of upper limb function, hand dexterity, daily living ability, and cognitive function between the experimental group (EG, using VR for upper limb rehabilitation) and control group (CG, receiving conventional rehabilitation, including physical therapy and occupational therapy). We also conducted an analysis of both custom and commercial games. The results of the meta-analysis proved that game-based VR upper limb rehabilitation therapy for cerebral apoplexy is an effective method of rehabilitation in clinical settings and is more effective than traditional rehabilitation in improving patients' upper limb function and hand mobility. Custom games heal better than commercial games. This study only includes nonimmersive device rehabilitation modes due to research constraints and classified them into four categories. The mode of VR games combined with rehabilitation instruments may solve the problem that patients with severe upper limb dysfunction cannot operate games. Whether the use of immersive VR devices and the fun of games will affect patients' rehabilitation motivation and effect is the direction of future research.",2022-10-18,"Le Wang, Jean-Lon Chen, Alice M K Wong, Kuei-Chia Liang, Kevin C Tseng",game,0
Using a Serious Game as an Elicitation Tool in Interview Research: Reflections on Methodology.,10.1089/g4h.2021.0159,36252096,"It can be difficult to understand the process of making decisions in health care, because of both the complexity of health care systems and the demands faced by health care professionals. Serious games offer an underexplored opportunity to elicit data about decision-making. In this article, we present and reflect on a methodological case study where we used a serious game as part of a semistructured interview to study the process of decision-making. The game ",2022-10-18,"Jennifer Jackson, Jo Iacovides",game,0
Evolutionary game analysis of polluting NIMBY facilities reconstruction based on public participation behavior.,10.1371/journal.pone.0276272,36251726,"With the advancement of urbanization and the expansion of urban areas, NIMBY (not in my back yard) environmental public facilities are increasing day by day. It is meaningful to incorporate public participation into the regulatory process for the existing pollution NIMBY facility enterprises. Through the establishment of the tripartite game model of local government, polluting NIMBY facility enterprises and the public, the evolution stability analysis and simulation analysis of their strategies are carried out, and the Pareto optimal solution is obtained. The results show that: The strategy choices of the players of the three-party game are different under different stability conditions. The system can be broken out of the bad state by increasing government punishment, local governments strictly controlling the potential profits, the potential losses of polluting enterprises not rebuilding, the long-term public benefits and reducing the cost of public participation, etc., and the three-party common governance mode can be formed. The strategy evolution speed of a player in a three-party game is affected by his own strategy choice proportion and the strategy choice proportion of the other two players, but no matter how the strategy choice proportion of the player in a three-party game changes, it will not change the final game result. On the basis of comprehensive analysis, a series of relevant suggestions are put forward from the three aspects of government, enterprises and the public, so as to provide certain reference for the design of the public participation system of polluting NIMBY facilities.",2022-10-18,"Hui Zhao, Mengran Zhang, Weihan Wang",game,1
Assessing Team Effectiveness by How Players Structure Their Search in a First-Person Multiplayer Video Game.,10.1111/cogs.13204,36251464,"People working as a team can achieve more than when working alone due to a team's ability to parallelize the completion of tasks. In collaborative search tasks, this necessitates the formation of effective division of labor strategies to minimize redundancies in search. For such strategies to be developed, team members need to perceive the task's relevant components and how they evolve over time, as well as an understanding of what others will do so that they can structure their own behavior to contribute to the team's goal. This study explored whether the capacity for team members to coordinate effectively can be related to how participants structure their search behaviors in an online multiplayer collaborative search task. Our results demonstrated that the structure of search behavior, quantified using detrended fluctuation analysis, was sensitive to contextual factors that limit a participant's ability to gather information. Further, increases in the persistence of movement fluctuations during search behavior were found as teams developed more effective coordinative strategies and were associated with better task performance.",2022-10-18,"Patrick Nalepka, Matthew Prants, Hamish Stening, James Simpson, Rachel W Kallen, Mark Dras, Erik D Reichle, Simon G Hosking, Christopher Best, Michael J Richardson",game,0
The effect of justified video game violence on aggressive behavior and moderated immersion: An experimental approach.,10.1002/ab.22054,36251004,"The effect of violent video games on aggressive behavior is an important topic in the field of game research. Recently, growing evidence suggests that justified game violence decreases feelings of guilt caused by in-game immoral behavior. However, little is known about the impact on aggressive behavior, and whether other factors moderate this effect. In a two-factor experiment, we tested the impact of justification of video game violence on aggressive behavior, and whether this effect would be enhanced by game immersion. Pilot experiment 1 (N = 60) and pilot experiment 2 (N = 40) demonstrated that the justification of violence and game immersion was successfully controlled by avatar and graphics quality. In the Main experiment, 123 participants played one of four conditions of a video game (2 [justification: justified vs. unjustified violence] × 2 [immersion: high vs. low immersion]) and it was found that participants who played in the justified violence condition reported greater aggressive behavior than those in the unjustified violence condition. In addition, participants who played in high immersion reported greater aggressive behavior than those in low immersion. However, game immersion did not moderate the effects of justified violence. This unexpected effect is likely due to participants' distancing themselves from and identifying less with their violent avatars.",2022-10-18,"Shuai Chen, Bo Mao, Yanling Liu",game,0
