title,doi,pubmed_id,abstract,pub_date,authors,researchkeys,score
Improved Combination Weighted Prediction Model of Aquifer Water Abundance Based on a Cloud Model.,10.1021/acsomega.2c04162,36249369,"The sandstone aquifer is an important underground water storage space, and the study of its water abundance is of great significance to ensure the safety of underground engineering and to explore the occurrence mechanism of groundwater sources. Based on the correlation between geological characteristics and aquifer water abundance, this paper proposed an aquifer water abundance prediction model based on a cloud model that improved combination weighting. The model took the roof sandstone aquifer of the Qingshuiying Coalfield as an example and selected five basic geological indicators that are closely related to the water-rich influence degree of the aquifer as evaluation indicators. The model was based on the idea of game theory, combined the analytic hierarchy process (AHP) and the entropy weight method, and introduced the cloud model evaluation method. The establishment of the model was based on the idea of game theory, combining the AHP and the entropy weight method and introducing the cloud model evaluation method. The results show that most of the study areas are located in weak or relatively weak water abundance areas; relatively strong water abundance areas are mainly distributed in the central, western, and southeastern parts of the study; strong water abundance areas are scattered in parts of the northeast, southwest, and southeast. The unit water inflow data of the actual pumping test is consistent with the water-rich prediction partition, which proves the accuracy and scientificity of the method. The model provides a new idea for the study of groundwater geology and a new method for predicting the water abundance of the roof aquifer in coal mines.",2022-10-18,"Wenju Cheng, Fangying Dong, Ruqian Tang, Huiyong Yin, Longqing Shi, Yutao Zhai, Xin Li",game,0
Condition-dependent trade-offs maintain honest signalling.,10.1098/rsos.220335,36249330,"How and why animals and humans signal reliably is a key issue in biology and social sciences that needs to be understood to explain the evolution of communication. In situations in which the receiver needs to differentiate between low- and high-quality signallers, once a ruling paradigm, the Handicap Principle has claimed that honest signals have to be costly to produce. Subsequent game theoretical models, however, highlighted that honest signals are not necessarily costly. Honesty is maintained by the potential cost of cheating: by the difference in the marginal benefit to marginal cost for low versus high-quality signallers; i.e. by differential trade-offs. Owing to the difficulties of manipulating signal costs and benefits, there is lack of empirical tests of these predictions. We present the results of a laboratory decision-making experiment with human participants to test the role of equilibrium signal cost and signalling trade-offs for the development of honest communication. We found that the trade-off manipulation had a much higher influence on the reliability of communication than the manipulation of the equilibrium cost of signal. Contrary to the predictions of the Handicap Principle, negative production cost promoted honesty at a very high level in the differential trade-off condition.",2022-10-18,"Szabolcs Számadó, Flóra Samu, Károly Takács",game,0
Zebrafish Avatars of rectal cancer patients validate the radiosensitive effect of metformin.,10.3389/fonc.2022.862889,36249066,"Neoadjuvant chemoradiation (nCRT) followed by surgery represents the standard of care in patients with locally advanced rectal cancer. Increasing radiotherapy (RT) doses and chemotherapy cycles with 5FU have been associated with increased rates of complete response, however these strategies imply significant toxicity. In the last years, epidemiologic findings have demonstrated that metformin is associated with significantly higher rates of pathological complete response to nCRT. Also, pre-clinical studies using cell lines provide evidence for the radiosensitive effect of metformin. However, no studies have been performed using rectal cancer patient samples to test this radiosensitive effect of metformin and compared it to the standard 5FU. Here, we designed an experimental study to compare both radiosensitizers in the zebrafish xenograft model (zAvatar), using rectal cancer surgical specimens and diagnostic biopsies. Patient zAvatars confirmed that metformin has indeed a powerful ",2022-10-18,"Bruna Costa, Laura M Fernandez, Oriol Parés, Ricardo Rio-Tinto, Inês Santiago, Mireia Castillo-Martin, Amjad Parvaiz, Rita Fior",game,0
"Pleistocene-Holocene vicariance, not Anthropocene landscape change, explains the genetic structure of American black bear (",10.1002/ece3.9406,36248671,The phylogeography of the American black bear (,2022-10-18,"Matthew J Gould, James W Cain, Todd C Atwood, Larisa E Harding, Heather E Johnson, Dave P Onorato, Frederic S Winslow, Gary W Roemer",game,1
Game-related assessments for personnel selection: A systematic review.,10.3389/fpsyg.2022.952002,36248590,"Industrial development in recent decades has led to using information and communication technologies (ICT) to support personnel selection processes. One of the most notable examples is game-related assessments (GRA), supposedly as accurate as conventional tests but which generate better applicant reactions and reduce the likelihood of adverse impact and faking. However, such claims still lack scientific support. Given practitioners' increasing use of GRA, this article reviews the scientific literature on gamification applied to personnel selection to determine whether the current state of the art supports their use in professional practice and identify specific aspects on which future research should focus. Following the PRISMA model, a search was carried out in the ",2022-10-18,"Pedro J Ramos-Villagrasa, Elena Fernández-Del-Río, Ángel Castro",game,0
Assessing young children's national identity through human-computer interaction: A game-based assessment task.,10.3389/fpsyg.2022.956570,36248538,"As a way of human-computer interaction, game-based assessment is more suitable for young children because it is situational, interesting, and effective. National identity is an important factor affecting the overall development of young children and the future development of a country, which has attracted extensive attention from researchers. Nevertheless, the assessment of young children's national identity is still based on traditional evaluation, including questionnaires and interviews, which have the limitations of being inaccurate, dull, and time-consuming. To understand the characteristics of children's national identity, it is necessary to use scientific and interactive assessment methods. The present study investigated whether the game-based assessment we developed specifically would be an appropriate tool to measure young children's national identity. The results show that the game-based assessment had good item discrimination. Exploratory factor analysis demonstrated the game covered three aspects: national cognition mastery, national emotion engagement, and national behavior tendency. The confirmatory factor analysis suggested that the model with three factors fit the data well. The internal consistency, the split-half reliability, and the test-retest reliability meet standards. Overall, the results indicated that this game can be successfully used to assess young children's national identity with acceptable validity and reliability. Our study provides strong evidence for the use of human-computer interaction in child measurement. These findings are the first to demonstrate the promise of game-based assessment in assessing children's national identity reliably and effectively.",2022-10-18,"Xiumin Hong, Qianqian Liu",game,0
Surgeon's comfort: The ergonomics of a robotic exoscope using a head-mounted display.,10.1016/j.bas.2021.100855,36248127,"Conventional microscopes have certain limitations in terms of posture and ergonomics. Monitor-based exoscopes could solve this problem and thereby lead to less work-related sick leave for surgeons.
The aim of this study was to assess the ergonomics, usability, and neurosurgeon's comfort of a novel three-dimensional head-mounted display-based exoscope in a standardized setting.
34 neurosurgeons participated in a workshop on the exoscope, which features a head-mounted display and a head gesture-triggered control panel. After completion of a custom-made 10-step microsurgical exercise, image quality and comfort were assessed using a questionnaire. The participants' posture during the exercise was analyzed using a video motion analysis software.
34 participants (median neurosurgical experience: 6 years) were included. The median time to complete the exercise was 12 ​min [IqR 9.4, 15.0]. Younger participants (p ​= ​0.005) and those with video game experience (p ​= ​0.03) had a significantly steeper learning curve. The median overall satisfaction was at 80% in general and 82% for image quality. The median upper body as well as the median head coronal displacement from the neutral axis were 0°. Participants with less microsurgical experience showed less head/body displacement during the exercise (p ​= ​0.01).
Using the microsurgical training tool, we were able to depict a steep learning curve with a sufficient learnability of the most relevant commands. The exoscope excelled in usability, image quality as well as in ergonomic and favorable posture and could thus become an alternative to conventional microscopes due to the potentially elevated surgeons' comfort.",2022-10-18,"Anto Abramovic, Matthias Demetz, Aleksandrs Krigers, Marlies Bauer, Sara Lener, Daniel Pinggera, Johannes Kerschbaumer, Sebastian Hartmann, Helga Fritsch, Claudius Thomé, Christian F Freyschlag",game,0
"Internal and external load during 8 v 8, 5 v 5 and 3 v 3 in Chinese elite youth male football players.",10.5114/biolsport.2022.113292,36247968,"Aim to investigate internal and external load in three different game formats (8 v 8, 5 v 5, 3 v 3 with 80 m",2022-10-18,"Zhen Li, Lijuan Mao, Peter Krustrup, Morten B Randers",game,0
The mean and peak physical demands during transitional play and high pressure activities in elite football.,10.5114/biolsport.2023.112968,36247966,The aim of the present study was to establish the effect of transitional activities (TA) on physical metrics. Global Positioning System technology was utilized on 23 elite outfield footballers over 10 games to quantify absolute metrics per minute such as total distance (TD; m · min,2022-10-18,"Lukasz Bortnik, Joost Burger, David Rhodes",game,0
Temporal distribution of peak running demands relative to match minutes in elite football.,10.5114/biolsport.2022.110745,36247961,"The peak match running demands of football (soccer) have been quantified across time durations of 1-10 min, however, little is known as to when the peak match running demands occur within match play. Data were collected from 44 elite footballers, across 68 fixtures (Files = 413, mean ± SD; 11 ± 8 observations per player, range; 1-33), with peak match running demands quantified for each playing half at ten incremental rolling average durations (1 min rolling averages, 2 min rolling averages, etc.). Data were assessed if players completed the full match. Three measures of running performance were assessed total distance (TD), high-speed distance (> 19.8 km · h",2022-10-18,"Bradley Thoseby, Andrew D Govus, Anthea C Clarke, Kane J Middleton, Ben J Dascombe",game,0
"Effects of mental fatigue on the psychophysiological responses, kinematic profiles, and technical performance in different small-sided soccer games.",10.5114/biolsport.2022.110746,36247954,"The purpose of this study was to assess the effects of mental fatigue (MF) on the psychophysiological responses, kinematic profiles, and technical performance of young soccer players in small-sided games (SSGs). Twenty-four young soccer players (age: 15.9 ± 1.0 years) played 2vs2, 3vs3, and 4vs4 SSGs consisting of four bouts (with two-minute passive rest periods between bouts) under two different playing conditions: MF+SSGs and SSGs. The heart rate, total distance covered, and technical performance of each player were monitored during all SSGs, and the rating of perceived exertion, visual analogue scale, and Rating Scale Mental Effort values were determined after each bout. The Physical Activity Enjoyment Scale (PACES) and Brunel Mood Scale (BRUMS) were also determined at the end of each SSG. The results demonstrated that all MF+SSGs induced higher psychophysiological responses (p ≤ 0.05) than SSGs, except regarding the PACES responses. By contrast, the SSGs group covered a greater total distance (p ≤ 0.05) than the MF+SSGs group. During SSGs, the players' technical performances (in terms of lost balls and unsuccessful passes) were negatively affected after MF (p ≤ 0.05). The results of this study indicate that both PACES scores and mood responses were negatively affected after the MF intervention. Coaches could use the MF intervention before SSGs to improve soccer-specific technical and decision-making performances in young soccer players.",2022-10-18,"Yusuf Soylu, Fikret Ramazanoglu, Ersan Arslan, Filipe Manuel Clemente",game,0
The association of ,10.5114/biolsport.2022.108704,36247951,The α-actinin-3 proteins regulate muscle function and are located in the Z-line of the fast skeletal muscle. A common null polymorphism of R577X in α-actinin-3 gene (,2022-10-18,"Nobuhiko Akazawa, Nao Ohiwa, Kazuhiro Shimizu, Natsumi Suzuki, Hiroshi Kumagai, Noriyuki Fuku, Yasuhiro Suzuki",game,0
Do conditioning focused various-sided training games prepare elite youth male soccer players for the demands of competition?,10.5114/biolsport.2022.109454,36247949,"Relative metrics (i.e. distance covered per minute of match time) are regularly used to quantify soccer player movement demands. However, limited literature is available concerning the peak player demands during training. This study aimed to compare the relative and peak demands of conditioning-focused various-sided training games (VSG) to competition matches in elite youth male soccer players according to playing position. Data from twenty-nine competition matches (national) and twenty-two VSGs (small, medium, and large) were collected for twenty-three elite under-17 soccer players using 15-Hz portable global positioning system tracking devices (GPSports, Canberra, Australia). Relative player movements were reported as total distance (TD) and high-speed running distance (HSRD) (> 5.0 m/s) per minute of total playing time. Peak player movements were calculated using a 1-minute rolling epoch length, reported as the maximum TD and HSRD. Linear mixed models demonstrated interactions between VSG type and player position for relative TD (",2022-10-18,"Michael G Sydney, Martin Wollin, Dale W Chapman, Nick Ball, Jocelyn K Mara",game,0
Small-sided games in volleyball: A systematic review of the state of the art.,10.5114/biolsport.2022.109960,36247946,"Studies on small-sided games (SSG) in team sports have increased in recent decades. However, the literature concerning this training strategy in volleyball is sparse. This study aims to summarize and analyse the scientific evidence on SSG in volleyball. For this purpose, electronic searches were conducted in August 2021 in PubMed, Scielo, ScienceDirect, Scopus, SPORTDiscus, and Web of Science databases. As result, a total of 22 studies (3 cross-sectional, 7 quasi-experimental, and 12 randomized controlled trial) that used SSG in volleyball were included in the qualitative synthesis after applying the eligibility criteria. Despite the few studies available for each outcome, our results suggest that the SSG can be used as a methodological resource for volleyball teaching and training of educational, recreational, and high-performance character. In conclusion, the use of SSG in volleyball is a pedagogical and training alternative with positive effects on populations with different levels of training (school and university students, recreational adult players, and athletes) considering instructional approaches, sport knowledge, participation in Physical Education classes, health markers, physical fitness, and physiological, psychological, and tactical-technical variables. However, more studies need to be carried out using SSG in volleyball in different contexts, with different manipulations and variables.",2022-10-18,"Henrique de Oliveira Castro, Lorenzo Laporta, Ricardo Franco Lima, Filipe Manuel Clemente, José Afonso, Samuel da Silva Aguiar, Alexandre Lima de Araújo Ribeiro, Gustavo De Conti Teixeira Costa",game,0
International matches elicit stable mechanical workload in high-level female ice hockey.,10.5114/biolsport.2022.109455,36247938,"This study aimed to quantify in- and between-match characteristics and mechanical workload variations elicited by a congested schedule in high-level female ice hockey. Six players were monitored during four international pre-season exhibition matches against the same opponent. Two different methods (Player Load and Accel'Rate) were used to assess specific mechanical workload. Number of shifts and effective playing time per shift were significantly higher for period 2 (p = 0.03 for both). Mechanical workload intensity (i.e., relative and peak workload) showed a significant (p ≤ 0.05) decrease from period 1 to period 2 and period 3 (",2022-10-18,"Jérôme Perez, Franck Brocherie, Antoine Couturier, Gaël Guilhem",game,0
Evaluating expert-based habitat suitability information of terrestrial mammals with GPS-tracking data.,10.1111/geb.13523,36247232,"Macroecological studies that require habitat suitability data for many species often derive this information from expert opinion. However, expert-based information is inherently subjective and thus prone to errors. The increasing availability of GPS tracking data offers opportunities to evaluate and supplement expert-based information with detailed empirical evidence. Here, we compared expert-based habitat suitability information from the International Union for Conservation of Nature (IUCN) with habitat suitability information derived from GPS-tracking data of 1,498 individuals from 49 mammal species.
Worldwide.
1998-2021.
Forty-nine terrestrial mammal species.
Using GPS data, we estimated two measures of habitat suitability for each individual animal: proportional habitat use (proportion of GPS locations within a habitat type), and selection ratio (habitat use relative to its availability). For each individual we then evaluated whether the GPS-based habitat suitability measures were in agreement with the IUCN data. To that end, we calculated the probability that the ranking of empirical habitat suitability measures was in agreement with IUCN's classification into suitable, marginal and unsuitable habitat types.
IUCN habitat suitability data were in accordance with the GPS data (> 95% probability of agreement) for 33 out of 49 species based on proportional habitat use estimates and for 25 out of 49 species based on selection ratios. In addition, 37 and 34 species had a > 50% probability of agreement based on proportional habitat use and selection ratios, respectively.
We show how GPS-tracking data can be used to evaluate IUCN habitat suitability data. Our findings indicate that for the majority of species included in this study, it is appropriate to use IUCN habitat suitability data in macroecological studies. Furthermore, we show that GPS-tracking data can be used to identify and prioritize species and habitat types for re-evaluation of IUCN habitat suitability data.",2022-10-18,"Maarten J E Broekman, Jelle P Hilbers, Mark A J Huijbregts, Thomas Mueller, Abdullahi H Ali, Henrik Andrén, Jeanne Altmann, Malin Aronsson, Nina Attias, Hattie L A Bartlam-Brooks, Floris M van Beest, Jerrold L Belant, Dean E Beyer, Laura Bidner, Niels Blaum, Randall B Boone, Mark S Boyce, Michael B Brown, Francesca Cagnacci, Rok Černe, Simon Chamaillé-Jammes, Nandintsetseg Dejid, Jasja Dekker, Arnaud L J Desbiez, Samuel L Díaz-Muñoz, Julian Fennessy, Claudia Fichtel, Christina Fischer, Jason T Fisher, Ilya Fischhoff, Adam T Ford, John M Fryxell, Benedikt Gehr, Jacob R Goheen, Morgan Hauptfleisch, A J Mark Hewison, Robert Hering, Marco Heurich, Lynne A Isbell, René Janssen, Florian Jeltsch, Petra Kaczensky, Peter M Kappeler, Miha Krofel, Scott LaPoint, A David M Latham, John D C Linnell, A Catherine Markham, Jenny Mattisson, Emilia Patricia Medici, Guilherme de Miranda Mourão, Bram Van Moorter, Ronaldo G Morato, Nicolas Morellet, Atle Mysterud, Stephen Mwiu, John Odden, Kirk A Olson, Aivars Ornicāns, Nives Pagon, Manuela Panzacchi, Jens Persson, Tyler Petroelje, Christer Moe Rolandsen, David Roshier, Daniel I Rubenstein, Sonia Saïd, Albert R Salemgareyev, Hall Sawyer, Niels Martin Schmidt, Nuria Selva, Agnieszka Sergiel, Jared Stabach, Jenna Stacy-Dawes, Frances E C Stewart, Jonas Stiegler, Olav Strand, Siva Sundaresan, Nathan J Svoboda, Wiebke Ullmann, Ulrich Voigt, Jake Wall, Martin Wikelski, Christopher C Wilmers, Filip Zięba, Tomasz Zwijacz-Kozica, Aafke M Schipper, Marlee A Tucker",game,0
